Region,Country,Business Unit,SP Outcome,SP Output,Thematic Area Category,Thematic Area,Content Area,Result Type,Narrative,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,1,2,Sexual reproductive health,EmONC,Programming,Faith and Culture,"One Family Health House was set fire in Kijran District, Daikondi, however, with the intervention of local authorities and communitiesthe facility resumed its activity after 10 days. ",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,1,2,Sexual reproductive health,EmONC,Programming,Leaving No One Behind/Reaching the Last Mile,Family Health House (FHH) is a unique approach to reach the end of the underserved area to ensure no one is left behind; the furthest the first; and the universal health coverage to RMNCH services. ,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,1,2,Sexual reproductive health,SRH in humanitarian settings,Programming,Lessons learned,"As Afghanistan is among those countries with the highest maternal and child mortality, therefore, it is good to tap on any learning opportunities in other developing and war-ravaged countries to cascade they gained knowledge in reducing the mortality and morbidities of mothers and their children",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,1,2,Sexual reproductive health,SRH in humanitarian settings,Programming,Difficult challenges,"Limited access to the conflict affected population and IDPs due to deteriorating security situation at country level. UNFPA has a partnership with implementing partners who are well accepted in the communities. As a result, they have good access to the  affected areas.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,1,2,Sexual reproductive health,SRH in humanitarian settings,Programming,Difficult challenges,"Limited availability of qualified female health workers to deliver services in the conflict affected and host community areas. UNFPA has adapted various approaches to recruit female staff, such as the provision of transportation facilities in areas where accommodation facilities are not available. Similarly, recruitment of Mahram (husband, brother, father or uncle) to work along with the female staff have also been encouraged to continue working in the remote and issolated areas.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,1,2,Sexual reproductive health,SRH in humanitarian settings,Programming,Difficult challenges,"Recurrent threats for the health workers, particularly for female health workers in conflict areas. UNFPA encourage the local staff to be recruited and built their capacity to provide quality health and protection services",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,1,2,Sexual reproductive health,SRH in humanitarian settings,Programming,Faith and Culture,"Involvement of female staff in PSS and RH community outreach interventions. Blanket PSS services as community outreach is more critical as the country does not have community outreach services to provide PSS services at doorstep. The interventions successfully increased access to services for women and girls who remained under-served for certain access, cultural acceptability and other reasons.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,1,4,Sexual reproductive health,Family planning,Programming,Lessons learned,"For the promotion of FP and involvement of other sectors, the FP should be addressed not only from a health perspective but it should be raised and discussed from women's empowerment, harnessing the demographic dividend and the protection of the rights of women's perspective.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,1,4,Sexual reproductive health,Family planning,Programming,Lessons learned,"There is a need for long-term investment in FP (both demand and supply) including the youth health components to obtain desirable results of increasing contraceptive prevalence which has remained static for the last five years in Afghanistan. Strengthening the supply chain for contraceptives and the human resource, especially to administer long-acting reversible contraceptives (LARC), are critical components that need further investments.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,2,7,Youth,Youth friendly health services,Partnership,Lessons learned,"It is helpful to establish a specific taskforce composed of MOPH, MOE, MOHRA, DMOYA and development partners aiming to effectively coordinate and generate one voice on school health issues.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,2,8,Youth,Youth in humanitarian action and peace building,Programming,Parliamentarians,"200 young people participated in the fourth Youth Parliament, including 121 elected young men and women aged 18 � 30 from 34 provinces of Afghanistan.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,3,9,GBV,GBV prevention and response in humanitarian settings,Programming,Difficult challenges,"Lack of unified multi-sectoral GBV data collection and reporting platforms among GBV actors for informed GBV program planning and response. GBVIMS in Afghanistan is 1) only focuses on the health sector with specific outlets to collect and report data in selected provinces, 2) the absence of police/legal sector GBVIMS and 3) unified/agreed inter-sectoral data sharing protocols/SoPs.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,3,9,GBV,GBV prevention and response in humanitarian settings,Programming,Difficult challenges,Coordination with the Gender Directorate to ensure GBVIMS integration into Afghanistan health management information system-Af-HMIS II,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,3,10,Harmful practices,Child marriage,Programming,Difficult challenges,"Negative coping mechanism such as marrying off young girls as livelihood means for the families, that not only result in GBV but also cause reproductive health challenges for them.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,3,10,Sexual reproductive health,Family planning,Programming,Faith and Culture,"Developed three audio and three video spots targeting newly married couples, mothers-in-law, man involvement in FP, rumors about side effects of contraceptives, and the religious aspect of FP. Following airing of the programs, there was an 11.9% increase in the number of FP clients between quarter-to-quarter at community and health facility level",,,,,,,,,,,,,,,,,,
